uuid,status,date,start_time,end_time,user_uuid,name,code,type
27a3f8bd-4a7f-47d2-9cff-607317ed099f,CANCELLED,2022-11-01,08:30:00,09:00:00,140ee432-d2f1-405a-8547-cc050b1b1a32,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
24ed5e3a-5bf9-4d8c-a03c-ab0870067391,CANCELLED,2022-11-01,08:30:00,09:00:00,41723351-a1a0-4805-9422-eb7589f3f97c,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
30a896d3-a441-48af-a054-284ec4031d20,CANCELLED,2022-11-01,10:00:00,10:30:00,140ee432-d2f1-405a-8547-cc050b1b1a32,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
58660ea5-7e82-4611-9a3f-261737c7a115,CANCELLED,2022-11-17,11:30:00,13:00:00,83abb97d-72c7-40c6-a740-6da5b3099344,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
4d9e6bbd-1c7a-45a3-8412-33690f001064,CANCELLED,2022-11-01,11:00:00,11:30:00,534524a2-471e-4589-866f-777d82f20ad0,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
e7211eb4-363c-4a92-967a-2731c6e7c974,CANCELLED,2022-11-01,16:00:00,16:30:00,45ad93ec-9bd0-4c5a-a7c8-1c0bf8cab347,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
035855bf-391b-49bf-8518-2a95df781611,CANCELLED,2022-11-02,08:30:00,09:00:00,140ee432-d2f1-405a-8547-cc050b1b1a32,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
2f26ef8a-1730-4345-91f1-82b69f6f9b26,CANCELLED,2022-11-03,14:00:00,15:30:00,90968d1a-d609-46bb-a60a-2db0486990d6,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
3e5e9000-fb2e-4e53-9ab5-f9574f87ed95,CANCELLED,2022-11-03,15:30:00,18:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
02bb5d5a-1d2d-4123-9209-58777e1edd6c,CANCELLED,2022-11-03,17:00:00,18:30:00,4b59a3f1-2355-4867-ab35-ddf9085a59b8,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
e21a0287-008e-43b4-9dcd-712ea4373e25,CANCELLED,2022-11-04,11:00:00,12:30:00,705a6537-b8ea-4c4d-be6a-2a2174f2e5b5,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
f0242180-665c-4a49-a31b-3c6355fce5a5,CANCELLED,2022-11-23,16:30:00,18:00:00,45ad93ec-9bd0-4c5a-a7c8-1c0bf8cab347,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
38ae6e2e-c0b3-4501-b6c6-ebf558b619ac,CANCELLED,2022-11-07,16:00:00,18:30:00,83abb97d-72c7-40c6-a740-6da5b3099344,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
04cd35b9-81c0-41f3-9058-f1ae8fbc58b0,CANCELLED,2022-11-08,14:00:00,17:30:00,9737cf63-bd14-4593-ad25-645855c4fd5b,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
421a3530-01b9-4bc8-b6fb-3acad936b605,CANCELLED,2022-11-09,09:00:00,12:00:00,47159c81-f059-4775-a76d-bb531f7ad687,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
edf92db5-1678-4ddd-ac9d-30292b7c762a,CANCELLED,2022-11-09,13:30:00,16:00:00,47159c81-f059-4775-a76d-bb531f7ad687,OCEANUS 6-1-4,HSO_ABW_ITCD_OCEANUS 6-1-4,CONFERENCE ROOM
acd526b1-7681-4ee9-9f3f-2497d7d7370d,CANCELLED,2022-11-09,09:00:00,12:00:00,90968d1a-d609-46bb-a60a-2db0486990d6,APOLLO,HSO_ABW_ITCD_APOLLO,MEETING ROOM
